,Date,Airline,Flight Number,Origin,Dest,Depart Delay,Arrival Delay,Cancelled
0,1/1/09,WN,102,LAX,ABQ,0.0,-5.0,0
1,1/1/09,WN,672,LAX,ABQ,-1.0,-9.0,0
2,1/1/09,WN,851,LAX,ABQ,3.0,8.0,0
3,1/1/09,WN,1264,LAX,AUS,2.0,-6.0,0
4,1/1/09,WN,476,LAX,BNA,2.0,7.0,0
5,1/1/09,WN,1050,LAX,BNA,0.0,2.0,0
6,1/1/09,WN,2018,LAX,BNA,8.0,10.0,0
7,1/1/09,WN,75,LAX,DEN,2.0,1.0,0
8,1/1/09,WN,446,LAX,DEN,4.0,4.0,0
9,1/1/09,WN,1394,LAX,DEN,75.0,75.0,0
10,1/1/09,WN,2513,LAX,DEN,1.0,-4.0,0
11,1/1/09,WN,3405,LAX,DEN,6.0,1.0,0
12,1/1/09,WN,143,LAX,ELP,0.0,1.0,0
13,1/1/09,WN,1159,LAX,ELP,0.0,6.0,0
14,1/1/09,WN,1811,LAX,ELP,0.0,-5.0,0
15,1/1/09,WN,72,LAX,HOU,3.0,-3.0,0
16,1/1/09,WN,874,LAX,HOU,27.0,24.0,0
17,1/1/09,WN,1840,LAX,HOU,1.0,-1.0,0
18,1/1/09,WN,2155,LAX,HOU,2.0,-6.0,0
19,1/1/09,WN,47,LAX,LAS,-1.0,-14.0,0
20,1/1/09,WN,682,LAX,LAS,2.0,-18.0,0
21,1/1/09,WN,712,LAX,LAS,16.0,2.0,0
22,1/1/09,WN,722,LAX,LAS,-1.0,1.0,0
23,1/1/09,WN,872,LAX,LAS,51.0,32.0,0
24,1/1/09,WN,1190,LAX,LAS,-1.0,5.0,0
25,1/1/09,WN,1539,LAX,LAS,2.0,-8.0,0
26,1/1/09,WN,2299,LAX,LAS,11.0,-8.0,0
27,1/1/09,WN,2345,LAX,LAS,-4.0,-16.0,0
28,1/1/09,WN,2460,LAX,LAS,-1.0,-12.0,0
29,1/1/09,WN,254,LAX,MCI,4.0,-3.0,0
30,1/1/09,WN,2708,LAX,MCI,3.0,0.0,0
31,1/1/09,WN,3535,LAX,MCI,22.0,38.0,0
32,1/1/09,WN,810,LAX,MDW,38.0,32.0,0
33,1/1/09,WN,1698,LAX,MDW,2.0,-5.0,0
34,1/1/09,WN,1997,LAX,MDW,-1.0,-2.0,0
35,1/1/09,WN,2561,LAX,MDW,1.0,0.0,0
36,1/1/09,WN,3588,LAX,MDW,-1.0,-6.0,0
37,1/1/09,WN,3937,LAX,MDW,1.0,-11.0,0
38,1/1/09,WN,124,LAX,OAK,-1.0,-5.0,0
39,1/1/09,WN,288,LAX,OAK,-5.0,-17.0,0
40,1/1/09,WN,395,LAX,OAK,-2.0,-10.0,0
41,1/1/09,WN,408,LAX,OAK,-3.0,-17.0,0
42,1/1/09,WN,410,LAX,OAK,8.0,-5.0,0
43,1/1/09,WN,463,LAX,OAK,-3.0,-17.0,0
44,1/1/09,WN,1265,LAX,OAK,32.0,24.0,0
45,1/1/09,WN,1415,LAX,OAK,0.0,-10.0,0
46,1/1/09,WN,1729,LAX,OAK,-4.0,-7.0,0
47,1/1/09,WN,1738,LAX,OAK,3.0,-10.0,0
48,1/1/09,WN,2104,LAX,OAK,1.0,-6.0,0
49,1/1/09,WN,2185,LAX,OAK,0.0,-8.0,0
50,1/1/09,WN,2446,LAX,OAK,-3.0,-13.0,0
51,1/1/09,WN,3547,LAX,OAK,-1.0,-5.0,0
52,1/1/09,WN,413,LAX,PHX,1.0,6.0,0
53,1/1/09,WN,608,LAX,PHX,17.0,20.0,0
54,1/1/09,WN,646,LAX,PHX,41.0,31.0,0
55,1/1/09,WN,790,LAX,PHX,0.0,-2.0,0
56,1/1/09,WN,1132,LAX,PHX,0.0,-2.0,0
57,1/1/09,WN,1648,LAX,PHX,7.0,15.0,0
58,1/1/09,WN,1941,LAX,PHX,79.0,72.0,0
59,1/1/09,WN,2967,LAX,PHX,0.0,-8.0,0
60,1/1/09,WN,3039,LAX,PHX,-2.0,-6.0,0
61,1/1/09,WN,3999,LAX,PHX,-2.0,-8.0,0
62,1/1/09,WN,3293,LAX,RNO,-3.0,-10.0,0
